Year,State,Park,ParkVisitorCount,ParkPctChange,StateVisitorCount,StatePctChange
2010,Alabama,Horseshoe Bend NMP,"67,776",-6.17%,"781,550",-1.16%
2010,Alabama,Little River Canyon NPRES,"192,576",1.76%,"781,550",-1.16%
2010,Alabama,Natchez Trace PKWY,"413,767",-0.39%,"781,550",-1.16%
2010,Alabama,Russell Cave NM,"23,374",-2.96%,"781,550",-1.16%
2010,Alabama,Tuskegee Airmen NHS,"60,827",4.13%,"781,550",-1.16%
2010,Alabama,Tuskegee Institute NHS,"23,230",-25.92%,"781,550",-1.16%
2010,Alaska,Aniakchak NM & PRES,62,342.86%,"2,274,843",-0.16%
2010,Alaska,Bering Land Bridge NPRES,"2,642",150.66%,"2,274,843",-0.16%
2010,Alaska,Cape Krusenstern NM,"2,521",39.28%,"2,274,843",-0.16%
2010,Alaska,Denali NP & PRES,"378,855",5.81%,"2,274,843",-0.16%
2010,Alaska,Gates of the Arctic NP & PRES,"10,840",8.67%,"2,274,843",-0.16%
2010,Alaska,Glacier Bay NP & PRES,"444,530",1.41%,"2,274,843",-0.16%
2010,Alaska,Katmai NP & PRES,"55,172",28.20%,"2,274,843",-0.16%
2010,Alaska,Kenai Fjords NP,"297,596",36.29%,"2,274,843",-0.16%
2010,Alaska,Klondike Gold Rush NHP Alaska,"797,716",-9.40%,"2,274,843",-0.16%
2010,Alaska,Kobuk Valley NP,"3,164",68.39%,"2,274,843",-0.16%
2010,Alaska,Lake Clark NP & PRES,"9,931",2.27%,"2,274,843",-0.16%
2010,Alaska,Noatak NPRES,"3,257",31.65%,"2,274,843",-0.16%
2010,Alaska,Sitka NHP,"189,176",-23.37%,"2,274,843",-0.16%
2010,Alaska,Wrangell-St. Elias NP & PRES,"73,170",22.02%,"2,274,843",-0.16%
2010,Alaska,Yukon-Charley Rivers NPRES,"6,211",-3.44%,"2,274,843",-0.16%
2010,American Samoa,National Park of American Samoa,"3,006",-7.28%,"3,006",-7.28%
2010,Arizona,Canyon de Chelly NM,"827,247",0.10%,"10,546,150",-1.56%
2010,Arizona,Casa Grande Ruins NM,"77,347",1.31%,"10,546,150",-1.56%
2010,Arizona,Chiricahua NM,"55,436",-8.90%,"10,546,150",-1.56%
2010,Arizona,Coronado NMEM,"136,284",28.08%,"10,546,150",-1.56%
2010,Arizona,Fort Bowie NHS,"9,491",-1.56%,"10,546,150",-1.56%
2010,Arizona,Glen Canyon NRA,"169,957",8.37%,"10,546,150",-1.56%
2010,Arizona,Grand Canyon NP,"4,388,386",0.93%,"10,546,150",-1.56%
2010,Arizona,Hubbell Trading Post NHS,"80,578",-18.83%,"10,546,150",-1.56%
2010,Arizona,Lake Mead NRA,"1,770,190",-7.67%,"10,546,150",-1.56%
2010,Arizona,Montezuma Castle NM,"578,554",-3.81%,"10,546,150",-1.56%
2010,Arizona,Navajo NM,"90,696",16.42%,"10,546,150",-1.56%
2010,Arizona,Organ Pipe Cactus NM,"209,602",-36.50%,"10,546,150",-1.56%
2010,Arizona,Petrified Forest NP,"664,725",5.24%,"10,546,150",-1.56%
2010,Arizona,Pipe Spring NM,"59,952",21.28%,"10,546,150",-1.56%
2010,Arizona,Saguaro NP,"717,614",7.87%,"10,546,150",-1.56%
2010,Arizona,Sunset Crater Volcano NM,"158,819",-15.25%,"10,546,150",-1.56%
2010,Arizona,Tonto NM,"60,497",-0.06%,"10,546,150",-1.56%
2010,Arizona,Tumacacori NHP,"39,866",-1.90%,"10,546,150",-1.56%
2010,Arizona,Tuzigoot NM,"103,274",-2.80%,"10,546,150",-1.56%
2010,Arizona,Walnut Canyon NM,"126,552",-1.36%,"10,546,150",-1.56%
2010,Arizona,Wupatki NM,"221,083",-5.23%,"10,546,150",-1.56%
2010,Arkansas,Arkansas Post NMEM,"34,712",7.94%,"3,125,664",3.09%
2010,Arkansas,Buffalo NR,"1,545,599",1.51%,"3,125,664",3.09%
2010,Arkansas,Fort Smith NHS,"68,678",8.09%,"3,125,664",3.09%
2010,Arkansas,Hot Springs NP,"1,311,807",2.11%,"3,125,664",3.09%
2010,Arkansas,Little Rock Central High School NHS,"49,740",-17.24%,"3,125,664",3.09%
2010,Arkansas,Pea Ridge NMP,"115,128",67.47%,"3,125,664",3.09%
2010,California,Cabrillo NM,"763,140",-0.59%,"34,915,676",-1.14%
2010,California,Channel Islands NP,"277,515",-20.42%,"34,915,676",-1.14%
2010,California,Death Valley NP,"984,775",18.85%,"34,915,676",-1.14%
2010,California,Devils Postpile NM,"80,349",-27.10%,"34,915,676",-1.14%
2010,California,Eugene O'Neill NHS,"2,445",-35.37%,"34,915,676",-1.14%
2010,California,Fort Point NHS,"1,315,241",-5.05%,"34,915,676",-1.14%
2010,California,Golden Gate NRA,"14,271,503",-5.09%,"34,915,676",-1.14%
2010,California,John Muir NHS,"34,904",1.12%,"34,915,676",-1.14%
2010,California,Joshua Tree NP,"1,434,976",10.00%,"34,915,676",-1.14%
2010,California,Kings Canyon NP,"598,205",-1.82%,"34,915,676",-1.14%
2010,California,Lassen Volcanic NP,"384,570",5.18%,"34,915,676",-1.14%
2010,California,Lava Beds NM,"130,765",0.87%,"34,915,676",-1.14%
2010,California,Manzanar NHS,"76,592",-14.12%,"34,915,676",-1.14%
2010,California,Mojave NPRES,"600,897",13.62%,"34,915,676",-1.14%
2010,California,Muir Woods NM,"834,356",6.99%,"34,915,676",-1.14%
2010,California,Pinnacles NP,"246,575",44.10%,"34,915,676",-1.14%
2010,California,Point Reyes NS,"2,067,271",-4.76%,"34,915,676",-1.14%
2010,California,Port Chicago Naval Magazine NMEM,984,,"34,915,676",-1.14%
2010,California,Redwood NP,"418,820",-5.76%,"34,915,676",-1.14%
2010,California,San Francisco Maritime NHP,"4,130,970",-0.52%,"34,915,676",-1.14%
2010,California,Santa Monica Mountains NRA,"568,371",13.32%,"34,915,676",-1.14%
2010,California,Sequoia NP,"1,002,979",3.92%,"34,915,676",-1.14%
2010,California,Whiskeytown NRA,"788,065",-7.70%,"34,915,676",-1.14%
2010,California,Yosemite NP,"3,901,408",4.39%,"34,915,676",-1.14%
2010,Colorado,Bent's Old Fort NHS,"29,120",3.52%,"5,635,307",3.53%
2010,Colorado,Black Canyon of the Gunnison NP,"176,344",2.85%,"5,635,307",3.53%
2010,Colorado,Colorado NM,"433,561",8.32%,"5,635,307",3.53%
2010,Colorado,Curecanti NRA,"969,549",1.72%,"5,635,307",3.53%
2010,Colorado,Dinosaur NM,"146,381",-2.97%,"5,635,307",3.53%
2010,Colorado,Florissant Fossil Beds NM,"65,422",1.82%,"5,635,307",3.53%
2010,Colorado,Great Sand Dunes NP & PRES,"283,284",-2.30%,"5,635,307",3.53%
2010,Colorado,Hovenweep NM,"12,050",-1.68%,"5,635,307",3.53%
2010,Colorado,Mesa Verde NP,"559,712",1.70%,"5,635,307",3.53%
2010,Colorado,Rocky Mountain NP,"2,955,821",4.73%,"5,635,307",3.53%
2010,Colorado,Sand Creek Massacre NHS,"4,063",,"5,635,307",3.53%
2010,Connecticut,Weir Farm NHS,"19,313",-0.38%,"19,313",-0.38%
2010,District of Columbia,Chesapeake & Ohio Canal NHP,"986,697",9.58%,"30,632,150",-8.31%
2010,District of Columbia,Ford's Theatre NHS,"662,298",0.61%,"30,632,150",-8.31%
2010,District of Columbia,Franklin Delano Roosevelt MEM,"2,238,052",-13.63%,"30,632,150",-8.31%
2010,District of Columbia,Frederick Douglass NHS,"44,699",2.80%,"30,632,150",-8.31%
2010,District of Columbia,Korean War Veterans Memorial,"3,072,716",-1.42%,"30,632,150",-8.31%
2010,District of Columbia,Lincoln Memorial,"6,042,315",14.97%,"30,632,150",-8.31%
2010,District of Columbia,Mary McLeod Bethune Council House NHS,"19,520",-10.50%,"30,632,150",-8.31%
2010,District of Columbia,National Capital Parks Central,"1,363,389",-62.94%,"30,632,150",-8.31%
2010,District of Columbia,National Capital Parks East,"1,063,764",-7.09%,"30,632,150",-8.31%
2010,District of Columbia,Pennsylvania Avenue NHS,"262,030",2.01%,"30,632,150",-8.31%
2010,District of Columbia,President's Park,"616,635",-58.20%,"30,632,150",-8.31%
2010,District of Columbia,Rock Creek Park,"1,883,457",-9.30%,"30,632,150",-8.31%
2010,District of Columbia,Thomas Jefferson MEM,"2,305,856",-1.37%,"30,632,150",-8.31%
2010,District of Columbia,Vietnam Veterans MEM,"4,555,371",2.65%,"30,632,150",-8.31%
2010,District of Columbia,Washington Monument,"628,665",-7.00%,"30,632,150",-8.31%
2010,District of Columbia,White House,"922,335",49.51%,"30,632,150",-8.31%
2010,District of Columbia,World War II Memorial,"3,964,351",-3.74%,"30,632,150",-8.31%
2010,Florida,Big Cypress NPRES,"665,523",-18.06%,"9,222,981",-2.87%
2010,Florida,Biscayne NP,"467,612",6.82%,"9,222,981",-2.87%
2010,Florida,Canaveral NS,"966,099",-3.55%,"9,222,981",-2.87%
2010,Florida,Castillo de San Marcos NM,"708,549",6.10%,"9,222,981",-2.87%
2010,Florida,De Soto NMEM,"265,406",7.62%,"9,222,981",-2.87%
2010,Florida,Dry Tortugas NP,"53,890",3.61%,"9,222,981",-2.87%
2010,Florida,Everglades NP,"915,538",1.63%,"9,222,981",-2.87%
2010,Florida,Fort Caroline NMEM,"299,906",3.92%,"9,222,981",-2.87%
2010,Florida,Fort Matanzas NM,"673,700",-15.07%,"9,222,981",-2.87%
2010,Florida,Gulf Islands NS,"3,212,810",3.66%,"9,222,981",-2.87%
2010,Florida,Timucuan EHP,"993,948",-16.84%,"9,222,981",-2.87%
2010,Georgia,Andersonville NHS,"121,535",-10.81%,"6,776,556",4.64%
2010,Georgia,Chattahoochee River NRA,"3,011,393",6.39%,"6,776,556",4.64%
2010,Georgia,Chickamauga & Chattanooga NMP,"495,951",-0.06%,"6,776,556",4.64%
2010,Georgia,Cumberland Island NS,"91,996",18.57%,"6,776,556",4.64%
2010,Georgia,Fort Frederica NM,"294,484",-0.55%,"6,776,556",4.64%
2010,Georgia,Fort Pulaski NM,"416,292",-4.45%,"6,776,556",4.64%
2010,Georgia,Jimmy Carter NHS,"64,849",-7.32%,"6,776,556",4.64%
2010,Georgia,Kennesaw Mountain NBP,"1,512,191",10.20%,"6,776,556",4.64%
2010,Georgia,"Martin Luther King, Jr. NHP","658,452",1.25%,"6,776,556",4.64%
2010,Georgia,Ocmulgee Mounds NHP,"109,413",-1.27%,"6,776,556",4.64%
2010,Guam,War in the Pacific NHP,"219,349",-19.24%,"219,349",-19.24%
2010,Hawaii,Haleakala NP,"1,105,606",-0.32%,"4,493,123",4.18%
2010,Hawaii,Hawaii Volcanoes NP,"1,304,667",5.80%,"4,493,123",4.18%
2010,Hawaii,Kalaupapa NHP,"27,919",-8.92%,"4,493,123",4.18%
2010,Hawaii,Kaloko Honokohau NHP,"132,731",-20.22%,"4,493,123",4.18%
2010,Hawaii,Pearl Harbor NMEM,"1,372,724",7.51%,"4,493,123",4.18%
2010,Hawaii,Pu'uhonua o Honaunau NHP,"419,590",5.51%,"4,493,123",4.18%
2010,Hawaii,Pu'ukohola Heiau NHS,"129,886",31.14%,"4,493,123",4.18%
2010,Idaho,City of Rocks NRES,"92,484",-4.31%,"530,977",7.44%
2010,Idaho,Craters of the Moon NM & PRES,"215,698",11.16%,"530,977",7.44%
2010,Idaho,Hagerman Fossil Beds NM,"29,795",9.29%,"530,977",7.44%
2010,Idaho,Nez Perce NHP,"193,000",9.51%,"530,977",7.44%
2010,Illinois,Lincoln Home NHS,"354,125",-23.69%,"354,125",-23.69%
2010,Indiana,George Rogers Clark NHP,"118,912",15.13%,"2,395,485",7.42%
2010,Indiana,Indiana Dunes NP,"2,150,345",10.58%,"2,395,485",7.42%
2010,Indiana,Lincoln Boyhood NMEM,"126,228",-30.71%,"2,395,485",7.42%
2010,Iowa,Effigy Mounds NM,"79,783",2.05%,"222,295",-7.79%
2010,Iowa,Herbert Hoover NHS,"142,512",-12.51%,"222,295",-7.79%
2010,Kansas,Brown v. Board of Education NHS,"17,808",-7.39%,"100,361",-1.52%
2010,Kansas,Fort Larned NHS,"29,423",7.21%,"100,361",-1.52%
2010,Kansas,Fort Scott NHS,"27,635",-3.18%,"100,361",-1.52%
2010,Kansas,Nicodemus NHS,"3,448",15.78%,"100,361",-1.52%
2010,Kansas,Tallgrass Prairie NPRES,"22,047",-7.03%,"100,361",-1.52%
2010,Kentucky,Abraham Lincoln Birthplace NHP,"177,122",-19.89%,"1,797,894",-1.67%
2010,Kentucky,Big South Fork NRRA,"269,113",-4.42%,"1,797,894",-1.67%
2010,Kentucky,Cumberland Gap NHP,"854,434",3.97%,"1,797,894",-1.67%
2010,Kentucky,Mammoth Cave NP,"497,225",-1.32%,"1,797,894",-1.67%
2010,Louisiana,Cane River Creole NHP,"25,115",-8.38%,"496,329",11.96%
2010,Louisiana,Jean Lafitte NHP & PRES,"391,019",16.70%,"496,329",11.96%
2010,Louisiana,New Orleans Jazz NHP,"80,195",-0.78%,"496,329",11.96%
2010,Maine,Acadia NP,"2,504,208",12.41%,"2,504,208",12.41%
2010,Maryland,Antietam NB,"393,957",3.96%,"6,296,100",5.65%
2010,Maryland,Assateague Island NS,"695,010",-1.11%,"6,296,100",5.65%
2010,Maryland,Catoctin Mountain Park,"385,745",-12.39%,"6,296,100",5.65%
2010,Maryland,Chesapeake & Ohio Canal NHP,"3,124,541",9.58%,"6,296,100",5.65%
2010,Maryland,Clara Barton NHS,"23,741",116.10%,"6,296,100",5.65%
2010,Maryland,Fort McHenry NM & HS,"611,582",0.94%,"6,296,100",5.65%
2010,Maryland,Fort Washington Park,"352,883",3.98%,"6,296,100",5.65%
2010,Maryland,Greenbelt Park,"270,661",43.94%,"6,296,100",5.65%
2010,Maryland,Hampton NHS,"32,153",-18.26%,"6,296,100",5.65%
2010,Maryland,Monocacy NB,"33,313",-3.59%,"6,296,100",5.65%
2010,Maryland,National Capital Parks East,"118,196",-7.09%,"6,296,100",5.65%
2010,Maryland,Piscataway Park,"248,314",6.03%,"6,296,100",5.65%
2010,Maryland,Thomas Stone NHS,"6,004",-4.21%,"6,296,100",5.65%
2010,Massachusetts,Adams NHP,"73,339",-71.09%,"9,913,501",1.44%
2010,Massachusetts,Boston African American NHS,"333,463",11.71%,"9,913,501",1.44%
2010,Massachusetts,Boston NHP,"2,060,497",-4.39%,"9,913,501",1.44%
2010,Massachusetts,Cape Cod NS,"4,653,706",7.93%,"9,913,501",1.44%
2010,Massachusetts,Frederick Law Olmsted NHS,"3,285",-34.39%,"9,913,501",1.44%
2010,Massachusetts,John F. Kennedy NHS,"17,466",6.94%,"9,913,501",1.44%
2010,Massachusetts,Longfellow House Washington's HQ NHS,"45,684",16.94%,"9,913,501",1.44%
2010,Massachusetts,Lowell NHP,"540,475",-4.50%,"9,913,501",1.44%
2010,Massachusetts,Minute Man NHP,"1,073,748",-2.03%,"9,913,501",1.44%
2010,Massachusetts,New Bedford Whaling NHP,"277,681",-0.76%,"9,913,501",1.44%
2010,Massachusetts,Salem Maritime NHS,"806,506",11.54%,"9,913,501",1.44%
2010,Massachusetts,Saugus Iron Works NHS,"10,775",2.34%,"9,913,501",1.44%
2010,Massachusetts,Springfield Armory NHS,"16,876",-5.08%,"9,913,501",1.44%
2010,Michigan,Isle Royale NP,"15,793",7.78%,"1,796,006",10.27%
2010,Michigan,Pictured Rocks NL,"499,281",11.39%,"1,796,006",10.27%
2010,Michigan,Sleeping Bear Dunes NL,"1,280,932",9.87%,"1,796,006",10.27%
2010,Minnesota,Grand Portage NM,"113,996",49.95%,"540,195",-16.91%
2010,Minnesota,Pipestone NM,"78,108",12.32%,"540,195",-16.91%
2010,Minnesota,Saint Croix NSR,"94,200",-66.62%,"540,195",-16.91%
2010,Minnesota,Voyageurs NP,"253,891",14.14%,"540,195",-16.91%
2010,Mississippi,Gulf Islands NS,"1,070,937",3.66%,"6,588,026",0.08%
2010,Mississippi,Natchez NHP,"206,870",-5.16%,"6,588,026",0.08%
2010,Mississippi,Natchez Trace PKWY,"4,728,760",-0.39%,"6,588,026",0.08%
2010,Mississippi,Vicksburg NMP,"581,459",-0.45%,"6,588,026",0.08%
2010,Missouri,Gateway Arch NP,"2,436,110",3.22%,"4,140,544",5.28%
2010,Missouri,George Washington Carver NM,"35,068",-9.85%,"4,140,544",5.28%
2010,Missouri,Harry S Truman NHS,"27,670",-2.52%,"4,140,544",5.28%
2010,Missouri,Ozark NSR,"1,416,529",8.24%,"4,140,544",5.28%
2010,Missouri,Ulysses S. Grant NHS,"39,967",-1.81%,"4,140,544",5.28%
2010,Missouri,Wilson's Creek NB,"185,200",18.54%,"4,140,544",5.28%
2010,Montana,Big Hole NB,"44,771",-10.14%,"4,584,011",9.26%
2010,Montana,Bighorn Canyon NRA,"139,664",25.98%,"4,584,011",9.26%
2010,Montana,Glacier NP,"2,200,048",8.30%,"4,584,011",9.26%
2010,Montana,Grant-Kohrs Ranch NHS,"22,075",9.83%,"4,584,011",9.26%
2010,Montana,Little Bighorn Battlefield NM,"320,959",5.99%,"4,584,011",9.26%
2010,Montana,Yellowstone NP,"1,856,494",10.47%,"4,584,011",9.26%
2010,Nebraska,Agate Fossil Beds NM,"12,509",-1.46%,"290,323",6.17%
2010,Nebraska,Homestead NM of America,"74,314",4.23%,"290,323",6.17%
2010,Nebraska,Niobrara NSR,"69,705",2.42%,"290,323",6.17%
2010,Nebraska,Scotts Bluff NM,"133,795",10.22%,"290,323",6.17%
2010,Nevada,Death Valley NP,,,"5,399,439",-7.49%
2010,Nevada,Great Basin NP,"88,870",4.58%,"5,399,439",-7.49%
2010,Nevada,Lake Mead NRA,"5,310,569",-7.67%,"5,399,439",-7.49%
2010,New Hampshire,Saint-Gaudens NHP,"30,941",-10.47%,"30,941",-10.47%
2010,New Jersey,Delaware Water Gap NRA,"3,752,890",1.40%,"5,858,443",0.51%
2010,New Jersey,Gateway NRA,"1,764,151",-2.11%,"5,858,443",0.51%
2010,New Jersey,Morristown NHP,"278,392",-6.60%,"5,858,443",0.51%
2010,New Jersey,Thomas Edison NHP,"63,009",132.84%,"5,858,443",0.51%
2010,New Mexico,Aztec Ruins NM,"37,437",-2.08%,"1,657,550",-0.12%
2010,New Mexico,Bandelier NM,"234,896",10.52%,"1,657,550",-0.12%
2010,New Mexico,Capulin Volcano NM,"48,580",-4.62%,"1,657,550",-0.12%
2010,New Mexico,Carlsbad Caverns NP,"428,524",-0.95%,"1,657,550",-0.12%
2010,New Mexico,Chaco Culture NHP,"34,226",-8.43%,"1,657,550",-0.12%
2010,New Mexico,El Malpais NM,"134,662",9.22%,"1,657,550",-0.12%
2010,New Mexico,El Morro NM,"52,566",8.96%,"1,657,550",-0.12%
2010,New Mexico,Fort Union NM,"10,638",-3.90%,"1,657,550",-0.12%
2010,New Mexico,Gila Cliff Dwellings NM,"32,652",-24.09%,"1,657,550",-0.12%
2010,New Mexico,Pecos NHP,"33,864",-1.91%,"1,657,550",-0.12%
2010,New Mexico,Petroglyph NM,"105,643",-10.99%,"1,657,550",-0.12%
2010,New Mexico,Salinas Pueblo Missions NM,"32,941",-12.97%,"1,657,550",-0.12%
2010,New Mexico,White Sands NP,"470,921",-0.05%,"1,657,550",-0.12%
2010,New York,African Burial Ground NM,"117,113",,"17,506,355",1.03%
2010,New York,Castle Clinton NM,"4,126,378",1.13%,"17,506,355",1.03%
2010,New York,Eleanor Roosevelt NHS,"53,067",-2.44%,"17,506,355",1.03%
2010,New York,Federal Hall NMEM,"178,749",-12.75%,"17,506,355",1.03%
2010,New York,Fire Island NS,"613,057",7.62%,"17,506,355",1.03%
2010,New York,Fort Stanwix NM,"103,748",11.35%,"17,506,355",1.03%
2010,New York,Gateway NRA,"7,056,606",-2.11%,"17,506,355",1.03%
2010,New York,General Grant NMEM,"119,665",18.63%,"17,506,355",1.03%
2010,New York,Governors Island NM,"409,207",25.59%,"17,506,355",1.03%
2010,New York,Hamilton Grange NMEM,0,-100.00%,"17,506,355",1.03%
2010,New York,Home of Franklin D. Roosevelt NHS,"140,251",13.99%,"17,506,355",1.03%
2010,New York,Martin Van Buren NHS,"21,055",-9.31%,"17,506,355",1.03%
2010,New York,Sagamore Hill NHS,"55,149",2.51%,"17,506,355",1.03%
2010,New York,Saint Paul's Church NHS,"16,362",13.37%,"17,506,355",1.03%
2010,New York,Saratoga NHP,"63,719",-28.70%,"17,506,355",1.03%
2010,New York,Statue of Liberty NM,"3,833,288",0.10%,"17,506,355",1.03%
2010,New York,Theodore Roosevelt Birthplace NHS,"15,029",4.44%,"17,506,355",1.03%
2010,New York,Theodore Roosevelt Inaugural NHS,"17,491",49.05%,"17,506,355",1.03%
2010,New York,Upper Delaware S&RR,"153,234",18.64%,"17,506,355",1.03%
2010,New York,Vanderbilt Mansion NHS,"390,525",2.65%,"17,506,355",1.03%
2010,New York,Women's Rights NHP,"22,662",9.90%,"17,506,355",1.03%
2010,North Carolina,Blue Ridge PKWY,"9,000,613",-8.91%,"17,093,464",-6.07%
2010,North Carolina,Cape Hatteras NS,"2,193,292",-3.91%,"17,093,464",-6.07%
2010,North Carolina,Cape Lookout NS,"530,181",-11.92%,"17,093,464",-6.07%
2010,North Carolina,Carl Sandburg Home NHS,"86,740",3.82%,"17,093,464",-6.07%
2010,North Carolina,Fort Raleigh NHS,"305,711",-9.61%,"17,093,464",-6.07%
2010,North Carolina,Great Smoky Mountains NP,"4,163,957",-0.29%,"17,093,464",-6.07%
2010,North Carolina,Guilford Courthouse NMP,"285,444",-1.70%,"17,093,464",-6.07%
2010,North Carolina,Moores Creek NB,"51,326",-25.47%,"17,093,464",-6.07%
2010,North Carolina,Wright Brothers NMEM,"476,200",-0.02%,"17,093,464",-6.07%
2010,North Dakota,Fort Union Trading Post NHS,"14,458",-4.51%,"659,927",4.51%
2010,North Dakota,Knife River Indian Villages NHS,"21,721",-26.09%,"659,927",4.51%
2010,North Dakota,Theodore Roosevelt NP,"623,748",6.27%,"659,927",4.51%
2010,Ohio,Cuyahoga Valley NP,"2,492,670",-3.73%,"2,738,275",-5.01%
2010,Ohio,Dayton Aviation Heritage NHP,"63,961",9.71%,"2,738,275",-5.01%
2010,Ohio,First Ladies NHS,"8,766",-16.24%,"2,738,275",-5.01%
2010,Ohio,Hopewell Culture NHP,"33,918",-0.76%,"2,738,275",-5.01%
2010,Ohio,James A. Garfield NHS,"24,853",45.34%,"2,738,275",-5.01%
2010,Ohio,Perry's Victory & Intl. Peace MEM,"92,944",-39.83%,"2,738,275",-5.01%
2010,Ohio,William Howard Taft NHS,"21,163",12.56%,"2,738,275",-5.01%
2010,Oklahoma,Chickasaw NRA,"1,253,637",1.22%,"1,266,189",1.38%
2010,Oklahoma,Washita Battlefield NHS,"12,552",19.24%,"1,266,189",1.38%
2010,Oregon,Crater Lake NP,"448,319",0.40%,"888,358",-0.38%
2010,Oregon,John Day Fossil Beds NM,"135,151",3.23%,"888,358",-0.38%
2010,Oregon,Lewis & Clark NHP,"218,553",-3.23%,"888,358",-0.38%
2010,Oregon,Oregon Caves NM & PRES,"86,335",-2.44%,"888,358",-0.38%
2010,Pennsylvania,Allegheny Portage Railroad NHS,"107,363",-9.73%,"8,970,475",0.95%
2010,Pennsylvania,Delaware Water Gap NRA,"1,532,871",1.40%,"8,970,475",0.95%
2010,Pennsylvania,Edgar Allan Poe NHS,"16,584",-5.03%,"8,970,475",0.95%
2010,Pennsylvania,Eisenhower NHS,"61,210",-4.68%,"8,970,475",0.95%
2010,Pennsylvania,Flight 93 NMEM,"137,837",-7.90%,"8,970,475",0.95%
2010,Pennsylvania,Fort Necessity NB,"264,450",34.05%,"8,970,475",0.95%
2010,Pennsylvania,Friendship Hill NHS,"32,562",3.52%,"8,970,475",0.95%
2010,Pennsylvania,Gettysburg NMP,"1,031,554",1.83%,"8,970,475",0.95%
2010,Pennsylvania,Hopewell Furnace NHS,"55,750",4.82%,"8,970,475",0.95%
2010,Pennsylvania,Independence NHP,"3,751,007",-5.46%,"8,970,475",0.95%
2010,Pennsylvania,Johnstown Flood NMEM,"100,799",-11.85%,"8,970,475",0.95%
2010,Pennsylvania,Steamtown NHS,"104,855",60.96%,"8,970,475",0.95%
2010,Pennsylvania,Thaddeus Kosciuszko NMEM,"2,888",-13.97%,"8,970,475",0.95%
2010,Pennsylvania,Upper Delaware S&RR,"153,234",18.64%,"8,970,475",0.95%
