Year,State,Park,ParkVisitorCount,ParkPctChange,StateVisitorCount,StatePctChange
2011,Alabama,Horseshoe Bend NMP,"65,892",-2.78%,"755,264",-3.36%
2011,Alabama,Little River Canyon NPRES,"225,549",17.12%,"755,264",-3.36%
2011,Alabama,Natchez Trace PKWY,"403,574",-2.46%,"755,264",-3.36%
2011,Alabama,Russell Cave NM,"20,717",-11.37%,"755,264",-3.36%
2011,Alabama,Tuskegee Airmen NHS,"16,244",-73.29%,"755,264",-3.36%
2011,Alabama,Tuskegee Institute NHS,"23,288",0.25%,"755,264",-3.36%
2011,Alaska,Aniakchak NM & PRES,57,-8.06%,"2,333,919",2.60%
2011,Alaska,Bering Land Bridge NPRES,"1,890",-28.46%,"2,333,919",2.60%
2011,Alaska,Cape Krusenstern NM,"8,668",243.83%,"2,333,919",2.60%
2011,Alaska,Denali NP & PRES,"406,582",7.32%,"2,333,919",2.60%
2011,Alaska,Gates of the Arctic NP & PRES,"11,623",7.22%,"2,333,919",2.60%
2011,Alaska,Glacier Bay NP & PRES,"431,986",-2.82%,"2,333,919",2.60%
2011,Alaska,Katmai NP & PRES,"48,939",-11.30%,"2,333,919",2.60%
2011,Alaska,Kenai Fjords NP,"346,852",16.55%,"2,333,919",2.60%
2011,Alaska,Klondike Gold Rush NHP Alaska,"795,150",-0.32%,"2,333,919",2.60%
2011,Alaska,Kobuk Valley NP,"11,485",262.99%,"2,333,919",2.60%
2011,Alaska,Lake Clark NP & PRES,"5,158",-48.06%,"2,333,919",2.60%
2011,Alaska,Noatak NPRES,"11,722",259.90%,"2,333,919",2.60%
2011,Alaska,Sitka NHP,"186,864",-1.22%,"2,333,919",2.60%
2011,Alaska,Wrangell-St. Elias NP & PRES,"65,225",-10.86%,"2,333,919",2.60%
2011,Alaska,Yukon-Charley Rivers NPRES,"1,718",-72.34%,"2,333,919",2.60%
2011,American Samoa,National Park of American Samoa,"8,716",189.95%,"8,716",189.95%
2011,Arizona,Canyon de Chelly NM,"828,145",0.11%,"10,134,892",-3.90%
2011,Arizona,Casa Grande Ruins NM,"72,308",-6.51%,"10,134,892",-3.90%
2011,Arizona,Chiricahua NM,"37,037",-33.19%,"10,134,892",-3.90%
2011,Arizona,Coronado NMEM,"153,042",12.30%,"10,134,892",-3.90%
2011,Arizona,Fort Bowie NHS,"8,429",-11.19%,"10,134,892",-3.90%
2011,Arizona,Glen Canyon NRA,"181,665",6.89%,"10,134,892",-3.90%
2011,Arizona,Grand Canyon NP,"4,298,178",-2.06%,"10,134,892",-3.90%
2011,Arizona,Hubbell Trading Post NHS,"88,231",9.50%,"10,134,892",-3.90%
2011,Arizona,Lake Mead NRA,"1,599,171",-9.66%,"10,134,892",-3.90%
2011,Arizona,Montezuma Castle NM,"573,731",-0.83%,"10,134,892",-3.90%
2011,Arizona,Navajo NM,"87,388",-3.65%,"10,134,892",-3.90%
2011,Arizona,Organ Pipe Cactus NM,"211,405",0.86%,"10,134,892",-3.90%
2011,Arizona,Petrified Forest NP,"614,054",-7.62%,"10,134,892",-3.90%
2011,Arizona,Pipe Spring NM,"57,360",-4.32%,"10,134,892",-3.90%
2011,Arizona,Saguaro NP,"610,045",-14.99%,"10,134,892",-3.90%
2011,Arizona,Sunset Crater Volcano NM,"185,265",16.65%,"10,134,892",-3.90%
2011,Arizona,Tonto NM,"53,426",-11.69%,"10,134,892",-3.90%
2011,Arizona,Tumacacori NHP,"33,740",-15.37%,"10,134,892",-3.90%
2011,Arizona,Tuzigoot NM,"101,104",-2.10%,"10,134,892",-3.90%
2011,Arizona,Walnut Canyon NM,"125,003",-1.22%,"10,134,892",-3.90%
2011,Arizona,Wupatki NM,"216,165",-2.22%,"10,134,892",-3.90%
2011,Arkansas,Arkansas Post NMEM,"37,127",6.96%,"2,879,494",-7.88%
2011,Arkansas,Buffalo NR,"1,169,802",-24.31%,"2,879,494",-7.88%
2011,Arkansas,Fort Smith NHS,"86,122",25.40%,"2,879,494",-7.88%
2011,Arkansas,Hot Springs NP,"1,396,354",6.45%,"2,879,494",-7.88%
2011,Arkansas,Little Rock Central High School NHS,"66,106",32.90%,"2,879,494",-7.88%
2011,Arkansas,Pea Ridge NMP,"114,234",-0.78%,"2,879,494",-7.88%
2011,Arkansas,President W.J. Clinton Birthplace Home NHS,"9,749",,"2,879,494",-7.88%
2011,California,Cabrillo NM,"813,351",6.58%,"35,448,424",1.53%
2011,California,Channel Islands NP,"242,756",-12.53%,"35,448,424",1.53%
2011,California,Death Valley NP,"946,867",-3.85%,"35,448,424",1.53%
2011,California,Devils Postpile NM,"97,207",20.98%,"35,448,424",1.53%
2011,California,Eugene O'Neill NHS,"2,593",6.05%,"35,448,424",1.53%
2011,California,Fort Point NHS,"1,338,508",1.77%,"35,448,424",1.53%
2011,California,Golden Gate NRA,"14,567,487",2.07%,"35,448,424",1.53%
2011,California,John Muir NHS,"31,236",-10.51%,"35,448,424",1.53%
2011,California,Joshua Tree NP,"1,396,237",-2.70%,"35,448,424",1.53%
2011,California,Kings Canyon NP,"566,810",-5.25%,"35,448,424",1.53%
2011,California,Lassen Volcanic NP,"351,269",-8.66%,"35,448,424",1.53%
2011,California,Lava Beds NM,"124,113",-5.09%,"35,448,424",1.53%
2011,California,Manzanar NHS,"79,587",3.91%,"35,448,424",1.53%
2011,California,Mojave NPRES,"536,006",-10.80%,"35,448,424",1.53%
2011,California,Muir Woods NM,"897,131",7.52%,"35,448,424",1.53%
2011,California,Pinnacles NP,"393,219",59.47%,"35,448,424",1.53%
2011,California,Point Reyes NS,"2,129,116",2.99%,"35,448,424",1.53%
2011,California,Port Chicago Naval Magazine NMEM,545,-44.61%,"35,448,424",1.53%
2011,California,Redwood NP,"380,167",-9.23%,"35,448,424",1.53%
2011,California,San Francisco Maritime NHP,"4,224,897",2.27%,"35,448,424",1.53%
2011,California,Santa Monica Mountains NRA,"609,636",7.26%,"35,448,424",1.53%
2011,California,Sequoia NP,"1,006,583",0.36%,"35,448,424",1.53%
2011,California,Whiskeytown NRA,"761,710",-3.34%,"35,448,424",1.53%
2011,California,Yosemite NP,"3,951,393",1.28%,"35,448,424",1.53%
2011,Colorado,Bent's Old Fort NHS,"26,842",-7.82%,"5,819,069",3.26%
2011,Colorado,Black Canyon of the Gunnison NP,"168,336",-4.54%,"5,819,069",3.26%
2011,Colorado,Colorado NM,"435,460",0.44%,"5,819,069",3.26%
2011,Colorado,Curecanti NRA,"924,468",-4.65%,"5,819,069",3.26%
2011,Colorado,Dinosaur NM,"158,034",7.96%,"5,819,069",3.26%
2011,Colorado,Florissant Fossil Beds NM,"61,289",-6.32%,"5,819,069",3.26%
2011,Colorado,Great Sand Dunes NP & PRES,"280,058",-1.14%,"5,819,069",3.26%
2011,Colorado,Hovenweep NM,"11,378",-5.58%,"5,819,069",3.26%
2011,Colorado,Mesa Verde NP,"572,329",2.25%,"5,819,069",3.26%
2011,Colorado,Rocky Mountain NP,"3,176,941",7.48%,"5,819,069",3.26%
2011,Colorado,Sand Creek Massacre NHS,"3,935",-3.15%,"5,819,069",3.26%
2011,Connecticut,Weir Farm NHS,"22,415",16.06%,"22,415",16.06%
2011,District of Columbia,Chesapeake & Ohio Canal NHP,"945,001",-4.23%,"30,579,692",-0.17%
2011,District of Columbia,Ford's Theatre NHS,"642,786",-2.95%,"30,579,692",-0.17%
2011,District of Columbia,Franklin Delano Roosevelt MEM,"2,309,708",3.20%,"30,579,692",-0.17%
2011,District of Columbia,Frederick Douglass NHS,"46,694",4.46%,"30,579,692",-0.17%
2011,District of Columbia,Korean War Veterans Memorial,"3,073,430",0.02%,"30,579,692",-0.17%
2011,District of Columbia,Lincoln Memorial,"5,971,220",-1.18%,"30,579,692",-0.17%
2011,District of Columbia,"Martin Luther King, Jr. Memorial","1,490,358",,"30,579,692",-0.17%
2011,District of Columbia,Mary McLeod Bethune Council House NHS,"18,142",-7.06%,"30,579,692",-0.17%
2011,District of Columbia,National Capital Parks Central,"1,240,717",-9.00%,"30,579,692",-0.17%
2011,District of Columbia,National Capital Parks East,"1,050,654",-1.23%,"30,579,692",-0.17%
2011,District of Columbia,Pennsylvania Avenue NHS,"236,136",-9.88%,"30,579,692",-0.17%
2011,District of Columbia,President's Park,"786,151",27.49%,"30,579,692",-0.17%
2011,District of Columbia,Rock Creek Park,"2,050,490",8.87%,"30,579,692",-0.17%
2011,District of Columbia,Thomas Jefferson MEM,"1,945,696",-15.62%,"30,579,692",-0.17%
2011,District of Columbia,Vietnam Veterans MEM,"4,020,127",-11.75%,"30,579,692",-0.17%
2011,District of Columbia,Washington Monument,"430,153",-31.58%,"30,579,692",-0.17%
2011,District of Columbia,White House,"570,057",-38.19%,"30,579,692",-0.17%
2011,District of Columbia,World War II Memorial,"3,752,172",-5.35%,"30,579,692",-0.17%
2011,Florida,Big Cypress NPRES,"941,393",41.45%,"10,580,858",14.72%
2011,Florida,Biscayne NP,"476,077",1.81%,"10,580,858",14.72%
2011,Florida,Canaveral NS,"1,005,001",4.03%,"10,580,858",14.72%
2011,Florida,Castillo de San Marcos NM,"741,042",4.59%,"10,580,858",14.72%
2011,Florida,De Soto NMEM,"355,653",34.00%,"10,580,858",14.72%
2011,Florida,Dry Tortugas NP,"75,171",39.49%,"10,580,858",14.72%
2011,Florida,Everglades NP,"934,351",2.05%,"10,580,858",14.72%
2011,Florida,Fort Caroline NMEM,"326,149",8.75%,"10,580,858",14.72%
2011,Florida,Fort Matanzas NM,"570,695",-15.29%,"10,580,858",14.72%
2011,Florida,Gulf Islands NS,"4,126,404",28.44%,"10,580,858",14.72%
2011,Florida,Timucuan EHP,"1,028,922",3.52%,"10,580,858",14.72%
2011,Georgia,Andersonville NHS,"108,812",-10.47%,"7,167,680",5.77%
2011,Georgia,Chattahoochee River NRA,"3,161,297",4.98%,"7,167,680",5.77%
2011,Georgia,Chickamauga & Chattanooga NMP,"518,350",4.52%,"7,167,680",5.77%
2011,Georgia,Cumberland Island NS,"74,279",-19.26%,"7,167,680",5.77%
2011,Georgia,Fort Frederica NM,"293,041",-0.49%,"7,167,680",5.77%
2011,Georgia,Fort Pulaski NM,"408,104",-1.97%,"7,167,680",5.77%
2011,Georgia,Jimmy Carter NHS,"66,157",2.02%,"7,167,680",5.77%
2011,Georgia,Kennesaw Mountain NBP,"1,748,436",15.62%,"7,167,680",5.77%
2011,Georgia,"Martin Luther King, Jr. NHP","666,482",1.22%,"7,167,680",5.77%
2011,Georgia,Ocmulgee Mounds NHP,"122,722",12.16%,"7,167,680",5.77%
2011,Guam,War in the Pacific NHP,"482,391",119.92%,"482,391",119.92%
2011,Hawaii,Haleakala NP,"956,989",-13.44%,"4,784,285",6.48%
2011,Hawaii,Hawaii Volcanoes NP,"1,352,123",3.64%,"4,784,285",6.48%
2011,Hawaii,Kalaupapa NHP,"57,841",107.17%,"4,784,285",6.48%
2011,Hawaii,Kaloko Honokohau NHP,"162,906",22.73%,"4,784,285",6.48%
2011,Hawaii,Pearl Harbor NMEM,"1,694,896",23.47%,"4,784,285",6.48%
2011,Hawaii,Pu'uhonua o Honaunau NHP,"426,224",1.58%,"4,784,285",6.48%
2011,Hawaii,Pu'ukohola Heiau NHS,"133,306",2.63%,"4,784,285",6.48%
2011,Idaho,City of Rocks NRES,"95,764",3.55%,"601,668",13.31%
2011,Idaho,Craters of the Moon NM & PRES,"198,545",-7.95%,"601,668",13.31%
2011,Idaho,Hagerman Fossil Beds NM,"21,100",-29.18%,"601,668",13.31%
2011,Idaho,Nez Perce NHP,"286,259",48.32%,"601,668",13.31%
2011,Illinois,Lincoln Home NHS,"296,214",-16.35%,"296,214",-16.35%
2011,Indiana,George Rogers Clark NHP,"145,596",22.44%,"2,094,529",-12.56%
2011,Indiana,Indiana Dunes NP,"1,840,513",-14.41%,"2,094,529",-12.56%
