Year,Park,ParkVisitorCount,ParkPctChange,StateVisitorCount,StatePctChange
2012,Horseshoe Bend NMP,"58,668",-10.96%,"717,724",-4.97%
2012,Little River Canyon NPRES,"201,109",-10.84%,"717,724",-4.97%
2012,Natchez Trace PKWY,"389,247",-3.55%,"717,724",-4.97%
2012,Russell Cave NM,"20,954",1.14%,"717,724",-4.97%
2012,Tuskegee Airmen NHS,"23,716",46.00%,"717,724",-4.97%
2012,Tuskegee Institute NHS,"24,030",3.19%,"717,724",-4.97%
2012,Aniakchak NM & PRES,19,-66.67%,"2,412,524",3.37%
2012,Bering Land Bridge NPRES,"2,642",39.79%,"2,412,524",3.37%
2012,Cape Krusenstern NM,"24,950",187.84%,"2,412,524",3.37%
2012,Denali NP & PRES,"388,433",-4.46%,"2,412,524",3.37%
2012,Gates of the Arctic NP & PRES,"10,899",-6.23%,"2,412,524",3.37%
2012,Glacier Bay NP & PRES,"454,337",5.17%,"2,412,524",3.37%
2012,Katmai NP & PRES,"39,818",-18.64%,"2,412,524",3.37%
2012,Kenai Fjords NP,"281,279",-18.91%,"2,412,524",3.37%
2012,Klondike Gold Rush NHP Alaska,"854,250",7.43%,"2,412,524",3.37%
2012,Kobuk Valley NP,"29,550",157.29%,"2,412,524",3.37%
2012,Lake Clark NP & PRES,"11,639",125.65%,"2,412,524",3.37%
2012,Noatak NPRES,"31,000",164.46%,"2,412,524",3.37%
2012,Sitka NHP,"195,157",4.44%,"2,412,524",3.37%
2012,Wrangell-St. Elias NP & PRES,"87,158",33.63%,"2,412,524",3.37%
2012,Yukon-Charley Rivers NPRES,"1,393",-18.92%,"2,412,524",3.37%
2012,National Park of American Samoa,"10,440",19.78%,"10,440",19.78%
2012,Canyon de Chelly NM,"828,523",0.05%,"9,979,972",-1.53%
2012,Casa Grande Ruins NM,"68,631",-5.09%,"9,979,972",-1.53%
2012,Chiricahua NM,"41,159",11.13%,"9,979,972",-1.53%
2012,Coronado NMEM,"97,579",-36.24%,"9,979,972",-1.53%
2012,Fort Bowie NHS,"7,966",-5.49%,"9,979,972",-1.53%
2012,Glen Canyon NRA,"164,906",-9.23%,"9,979,972",-1.53%
2012,Grand Canyon NP,"4,421,352",2.87%,"9,979,972",-1.53%
2012,Hubbell Trading Post NHS,"75,061",-14.93%,"9,979,972",-1.53%
2012,Lake Mead NRA,"1,571,360",-1.74%,"9,979,972",-1.53%
2012,Montezuma Castle NM,"455,305",-20.64%,"9,979,972",-1.53%
2012,Navajo NM,"58,219",-33.38%,"9,979,972",-1.53%
2012,Organ Pipe Cactus NM,"161,743",-23.49%,"9,979,972",-1.53%
2012,Petrified Forest NP,"664,857",8.27%,"9,979,972",-1.53%
2012,Pipe Spring NM,"54,692",-4.65%,"9,979,972",-1.53%
2012,Saguaro NP,"634,286",3.97%,"9,979,972",-1.53%
