PK,State,Park,ParkVisitorCount,ParkPctChange,StateVisitorCount,StatePctChange
Alabama Horseshoe Bend NMP,Alabama,Horseshoe Bend NMP,"83,370",-6.62%,"1,022,696",29.05%
Alabama Little River Canyon NPRES,Alabama,Little River Canyon NPRES,"462,700",86.47%,"1,022,696",29.05%
Alabama Natchez Trace PKWY,Alabama,Natchez Trace PKWY,"412,392",1.82%,"1,022,696",29.05%
Alabama Russell Cave NM,Alabama,Russell Cave NM,"24,649",26.86%,"1,022,696",29.05%
Alabama Tuskegee Airmen NHS,Alabama,Tuskegee Airmen NHS,"31,133",37.38%,"1,022,696",29.05%
Alabama Tuskegee Institute NHS,Alabama,Tuskegee Institute NHS,"8,452",6.17%,"1,022,696",29.05%
Alaska Aniakchak NM & PRES,Alaska,Aniakchak NM & PRES,100,-34.64%,"2,783,011",4.46%
Alaska Bering Land Bridge NPRES,Alaska,Bering Land Bridge NPRES,"2,642",0.00%,"2,783,011",4.46%
Alaska Cape Krusenstern NM,Alaska,Cape Krusenstern NM,"15,000",,"2,783,011",4.46%
Alaska Denali NP & PRES,Alaska,Denali NP & PRES,"587,412",4.75%,"2,783,011",4.46%
Alaska Gates of the Arctic NP & PRES,Alaska,Gates of the Arctic NP & PRES,"10,047",-6.50%,"2,783,011",4.46%
Alaska Glacier Bay NP & PRES,Alaska,Glacier Bay NP & PRES,"520,171",-5.66%,"2,783,011",4.46%
Alaska Katmai NP & PRES,Alaska,Katmai NP & PRES,"37,818",0.00%,"2,783,011",4.46%
Alaska Kenai Fjords NP,Alaska,Kenai Fjords NP,"346,534",16.80%,"2,783,011",4.46%
Alaska Klondike Gold Rush NHP Alaska,Alaska,Klondike Gold Rush NHP Alaska,"912,351",-0.79%,"2,783,011",4.46%
Alaska Kobuk Valley NP,Alaska,Kobuk Valley NP,"15,500",,"2,783,011",4.46%
Alaska Lake Clark NP & PRES,Alaska,Lake Clark NP & PRES,"21,102",18.43%,"2,783,011",4.46%
Alaska Noatak NPRES,Alaska,Noatak NPRES,"17,000",,"2,783,011",4.46%
Alaska Sitka NHP,Alaska,Sitka NHP,"217,141",17.28%,"2,783,011",4.46%
Alaska Wrangell-St. Elias NP & PRES,Alaska,Wrangell-St. Elias NP & PRES,"79,047",-1.64%,"2,783,011",4.46%
Alaska Yukon-Charley Rivers NPRES,Alaska,Yukon-Charley Rivers NPRES,"1,146",1.15%,"2,783,011",4.46%
American Samoa National Park of American Samoa,American Samoa,National Park of American Samoa,"28,892",107.98%,"28,892",107.98%
Arizona Canyon de Chelly NM,Arizona,Canyon de Chelly NM,"821,406",0.95%,"12,007,544",2.37%
Arizona Casa Grande Ruins NM,Arizona,Casa Grande Ruins NM,"75,752",4.33%,"12,007,544",2.37%
Arizona Chiricahua NM,Arizona,Chiricahua NM,"51,277",-9.98%,"12,007,544",2.37%
Arizona Coronado NMEM,Arizona,Coronado NMEM,"136,075",2.63%,"12,007,544",2.37%
Arizona Fort Bowie NHS,Arizona,Fort Bowie NHS,"8,013",3.26%,"12,007,544",2.37%
Arizona Glen Canyon NRA,Arizona,Glen Canyon NRA,"259,162",29.84%,"12,007,544",2.37%
Arizona Grand Canyon NP,Arizona,Grand Canyon NP,"5,969,811",8.13%,"12,007,544",2.37%
Arizona Hubbell Trading Post NHS,Arizona,Hubbell Trading Post NHS,"67,276",1.44%,"12,007,544",2.37%
Arizona Lake Mead NRA,Arizona,Lake Mead NRA,"1,793,973",-1.68%,"12,007,544",2.37%
Arizona Montezuma Castle NM,Arizona,Montezuma Castle NM,"392,168",-5.87%,"12,007,544",2.37%
Arizona Navajo NM,Arizona,Navajo NM,"65,705",-7.94%,"12,007,544",2.37%
Arizona Organ Pipe Cactus NM,Arizona,Organ Pipe Cactus NM,"234,186",5.15%,"12,007,544",2.37%
Arizona Petrified Forest NP,Arizona,Petrified Forest NP,"643,274",-18.90%,"12,007,544",2.37%
Arizona Pipe Spring NM,Arizona,Pipe Spring NM,"46,710",-14.48%,"12,007,544",2.37%
Arizona Saguaro NP,Arizona,Saguaro NP,"820,426",8.89%,"12,007,544",2.37%
Arizona Sunset Crater Volcano NM,Arizona,Sunset Crater Volcano NM,"60,233",-66.94%,"12,007,544",2.37%
Arizona Tonto NM,Arizona,Tonto NM,"38,048",1.40%,"12,007,544",2.37%
Arizona Tumacacori NHP,Arizona,Tumacacori NHP,"43,829",3.99%,"12,007,544",2.37%
Arizona Tuzigoot NM,Arizona,Tuzigoot NM,"104,604",10.03%,"12,007,544",2.37%
Arizona Walnut Canyon NM,Arizona,Walnut Canyon NM,"152,444",-0.57%,"12,007,544",2.37%
Arizona Wupatki NM,Arizona,Wupatki NM,"223,172",4.86%,"12,007,544",2.37%
Arkansas Arkansas Post NMEM,Arkansas,Arkansas Post NMEM,"34,405",-11.10%,"3,787,198",15.37%
Arkansas Buffalo NR,Arkansas,Buffalo NR,"1,785,359",22.01%,"3,787,198",15.37%
Arkansas Fort Smith NHS,Arkansas,Fort Smith NHS,"163,636",46.80%,"3,787,198",15.37%
Arkansas Hot Springs NP,Arkansas,Hot Springs NP,"1,544,300",8.89%,"3,787,198",15.37%
Arkansas Little Rock Central High School NHS,Arkansas,Little Rock Central High School NHS,"129,540",2.85%,"3,787,198",15.37%
Arkansas Pea Ridge NMP,Arkansas,Pea Ridge NMP,"119,490",4.29%,"3,787,198",15.37%
Arkansas President W.J. Clinton Birthplace Home NHS,Arkansas,President W.J. Clinton Birthplace Home NHS,"10,468",0.05%,"3,787,198",15.37%
California Cabrillo NM,California,Cabrillo NM,"959,145",-2.31%,"41,977,184",9.41%
California Cesar E. Chavez NM,California,Cesar E. Chavez NM,"17,216",61.68%,"41,977,184",9.41%
California Channel Islands NP,California,Channel Islands NP,"364,807",12.31%,"41,977,184",9.41%
California Death Valley NP,California,Death Valley NP,"1,296,283",12.25%,"41,977,184",9.41%
California Devils Postpile NM,California,Devils Postpile NM,"135,404",-3.50%,"41,977,184",9.41%
California Eugene O'Neill NHS,California,Eugene O'Neill NHS,"4,287",8.75%,"41,977,184",9.41%
California Fort Point NHS,California,Fort Point NHS,"2,264,154",40.59%,"41,977,184",9.41%
California Golden Gate NRA,California,Golden Gate NRA,"15,638,777",5.04%,"41,977,184",9.41%
California John Muir NHS,California,John Muir NHS,"49,376",15.87%,"41,977,184",9.41%
California Joshua Tree NP,California,Joshua Tree NP,"2,505,286",23.67%,"41,977,184",9.41%
California Kings Canyon NP,California,Kings Canyon NP,"607,479",29.77%,"41,977,184",9.41%
California Lassen Volcanic NP,California,Lassen Volcanic NP,"536,068",14.52%,"41,977,184",9.41%
