State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alabama,Horseshoe Bend NMP,"83,370",-6.62%,"17,225",-3.87%,"1,131,017",16.37%,"206,703",-3.87%,"376,968",16.37%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,022,696",29.05%,"268,830",45.41%,"1,599,427",8.84%,"3,225,957",45.41%,"845,378",2.90%,0,,0,,413,,702,,0,,0,,0,,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Alabama,Little River Canyon NPRES,"462,700",86.47%,"102,598",354.30%,0,,"1,231,175",354.30%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,022,696",29.05%,"268,830",45.41%,"1,599,427",8.84%,"3,225,957",45.41%,"845,378",2.90%,0,,0,,413,,702,,0,,0,,0,,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Alabama,Natchez Trace PKWY,"412,392",1.82%,"138,487",1.88%,"468,410",-5.87%,"1,661,845",1.88%,"468,410",-5.87%,0,,0,,413,13.77%,702,6.85%,0,,0,,0,,Subtotal Alabama,"1,022,696",29.05%,"268,830",45.41%,"1,599,427",8.84%,"3,225,957",45.41%,"845,378",2.90%,0,,0,,413,,702,,0,,0,,0,,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Alabama,Russell Cave NM,"24,649",26.86%,"3,476",26.80%,0,,"41,708",26.80%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,022,696",29.05%,"268,830",45.41%,"1,599,427",8.84%,"3,225,957",45.41%,"845,378",2.90%,0,,0,,413,,702,,0,,0,,0,,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Alabama,Tuskegee Airmen NHS,"31,133",37.38%,"3,892",37.39%,0,,"46,700",37.39%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,022,696",29.05%,"268,830",45.41%,"1,599,427",8.84%,"3,225,957",45.41%,"845,378",2.90%,0,,0,,413,,702,,0,,0,,0,,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Alabama,Tuskegee Institute NHS,"8,452",6.17%,"3,152",10.29%,0,,"37,826",10.29%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,022,696",29.05%,"268,830",45.41%,"1,599,427",8.84%,"3,225,957",45.41%,"845,378",2.90%,0,,0,,413,,702,,0,,0,,0,,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Alaska,Aniakchak NM & PRES,100,-34.64%,470,-21.67%,0,,"5,640",-21.67%,0,,0,,0,,0,,0,,235,-21.67%,0,,0,,Subtotal Alaska,"2,783,011",4.46%,"2,040,786",3.07%,"831,224",,"24,489,438",3.07%,"562,340",,"15,232",,0,,"57,238",,"21,257",,"99,465",55.50%,"25,820",,"14,289",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Alaska,Bering Land Bridge NPRES,"2,642",0.00%,661,0.00%,"1,128",0.00%,"7,926",0.00%,"9,024",0.00%,0,,0,,0,,0,,"1,123",0.00%,360,,0,0.00%,Subtotal Alaska,"2,783,011",4.46%,"2,040,786",3.07%,"831,224",,"24,489,438",3.07%,"562,340",,"15,232",,0,,"57,238",,"21,257",,"99,465",55.50%,"25,820",,"14,289",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Alaska,Cape Krusenstern NM,"15,000",,"3,117",,"7,500",,"37,400",,"60,000",,0,,0,,0,,0,,"6,375",,"5,525",,0,,Subtotal Alaska,"2,783,011",4.46%,"2,040,786",3.07%,"831,224",,"24,489,438",3.07%,"562,340",,"15,232",,0,,"57,238",,"21,257",,"99,465",55.50%,"25,820",,"14,289",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Alaska,Denali NP & PRES,"587,412",4.75%,"678,597",7.00%,"805,746",-1.88%,"8,143,166",7.00%,"201,436",-1.88%,0,,0,,"50,269",-8.11%,"21,257",-37.29%,"49,309",37.79%,0,-100.00%,0,,Subtotal Alaska,"2,783,011",4.46%,"2,040,786",3.07%,"831,224",,"24,489,438",3.07%,"562,340",,"15,232",,0,,"57,238",,"21,257",,"99,465",55.50%,"25,820",,"14,289",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
